2016-05-23 15:54:48.0368 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 828
2016-05-23 15:54:48.0788 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 934
2016-05-23 15:54:48.9738 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 850
2016-05-23 15:54:48.9738 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 806
2016-05-23 15:54:48.9738 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 806
2016-05-23 15:54:48.9968 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:48.9968 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 1
2016-05-23 15:54:49.9128 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 935
2016-05-23 15:54:49.9128 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 865
2016-05-23 15:54:49.9178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 865
2016-05-23 15:54:49.9178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 865
2016-05-23 15:54:49.9178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 865
2016-05-23 15:54:50.8448 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 779
2016-05-23 15:54:50.8448 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 871
2016-05-23 15:54:50.8448 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 779
2016-05-23 15:54:50.8448 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 779
2016-05-23 15:54:50.8988 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 43
2016-05-23 15:54:51.7838 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 885
2016-05-23 15:54:51.7838 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 858
2016-05-23 15:54:51.7908 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 858
2016-05-23 15:54:51.7908 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:51.7908 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:52.7178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 892
2016-05-23 15:54:52.7178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 892
2016-05-23 15:54:52.7178 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 932
2016-05-23 15:54:52.7178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 892
2016-05-23 15:54:52.7178 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 892
2016-05-23 15:54:53.6518 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 843
2016-05-23 15:54:53.6518 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 869
2016-05-23 15:54:53.6518 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 869
2016-05-23 15:54:53.6618 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:53.6618 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:54.5908 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 905
2016-05-23 15:54:54.5908 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 905
2016-05-23 15:54:54.6028 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:54.6028 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 0
2016-05-23 15:54:54.6028 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 950
2016-05-23 15:54:55.5248 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 871
2016-05-23 15:54:55.5248 DEBUG Group id : 2e111bfb-e201-4ff9-8755-1212f46ce594   , duration MS : 886
2016-05-23 15:54:55.5248 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 871
2016-05-23 15:54:55.5248 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 871
2016-05-23 15:54:55.5248 DEBUG Group id : 1a68c990-9e27-4654-b9c2-8fabdc799e00   , duration MS : 871
