2016-05-24 09:26:34.2001 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 900
2016-05-24 09:26:34.2001 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 584
2016-05-24 09:26:34.2091 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 904
2016-05-24 09:26:34.2091 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 942
2016-05-24 09:26:34.2301 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1
2016-05-24 09:26:34.2411 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:34.2411 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:34.2621 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:34.2711 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:34.2711 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:34.2901 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:34.2901 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 2
2016-05-24 09:26:34.6232 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 313
2016-05-24 09:26:35.2782 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 925
2016-05-24 09:26:35.2782 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 656
2016-05-24 09:26:35.2862 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 974
2016-05-24 09:26:35.3022 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1
2016-05-24 09:26:35.3353 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:35.3603 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 0
2016-05-24 09:26:35.3643 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 0
2016-05-24 09:26:35.3643 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 16
2016-05-24 09:26:35.3643 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 1116
2016-05-24 09:26:35.3823 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 15
2016-05-24 09:26:35.3823 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 6
2016-05-24 09:26:35.3823 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:35.6173 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 252
2016-05-24 09:26:36.3604 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 971
2016-05-24 09:26:36.3604 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 977
2016-05-24 09:26:36.3654 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1
2016-05-24 09:26:36.3654 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 917
2016-05-24 09:26:36.3654 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 750
2016-05-24 09:26:36.3654 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:36.3784 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 0
2016-05-24 09:26:36.3964 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 22
2016-05-24 09:26:36.3964 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 4
2016-05-24 09:26:36.4104 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 40
2016-05-24 09:26:36.4104 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 8
2016-05-24 09:26:36.4674 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 6
2016-05-24 09:26:36.6174 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 176
2016-05-24 09:26:37.4425 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 1025
2016-05-24 09:26:37.4425 DEBUG Group id : 535e8c46-5436-4298-b760-a213ad0070ca   , duration MS : 1077
2016-05-24 09:26:37.4425 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 970
2016-05-24 09:26:37.4665 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 16
2016-05-24 09:26:37.4695 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 3
2016-05-24 09:26:37.4865 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 2
2016-05-24 09:26:37.5565 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 4
2016-05-24 09:26:37.5735 DEBUG Group id : 1fde8e78-9d28-4491-aa9c-677eb03c9959   , duration MS : 1
2016-05-24 09:26:37.5805 DEBUG Group id : 361536d2-0a10-4aab-8615-1befa4fceeef   , duration MS : 10
2016-05-24 09:26:37.5805 DEBUG Group id : 6d852c90-2a4e-4c15-b981-78aa20e5e457   , duration MS : 964
